state,value
Alabama,28.0
Alaska,26.0
Arizona,37.0
Arkansas,27.0
California,39.0
Colorado,34.0
Connecticut,28.0
Florida,34.0
Georgia,30.0
Hawaii,31.0
Idaho,29.0
Illinois,37.0
Indiana,31.0
Iowa,29.0
Kansas,26.0
Kentucky,29.0
Louisiana,31.0
Maine,31.0
Maryland,33.0
Massachusetts,33.0
Michigan,29.0
Minnesota,32.0
Mississippi,26.0
Missouri,34.0
Montana,23.0
Nebraska,28.0
Nevada,38.0
New Hampshire,23.0
New Jersey,36.0
New Mexico,35.0
New York,34.0
North Carolina,34.0
North Dakota,26.0
Ohio,30.0
Oklahoma,27.0
Oregon,32.0
Pennsylvania,32.0
Rhode Island,27.0
South Carolina,30.0
South Dakota,30.0
Tennessee,33.0
Texas,36.0
Utah,31.0
Vermont,33.0
Virginia,31.0
Washington,35.0
West Virginia,34.0
Wisconsin,27.0
Wyoming,26.0
